,LA_DEFENSE,CHAMPIGNY-SUR-MARNE,Avenue_des_Champs_Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS_7ème,PARIS_12ème,PARIS_13ème,PARIS_18ème,Zone_rurale_Sud-Est_-_Forêt_de_Fontainebleau,Zone_rurale_Sud-Ouest_-_Forêt_de_Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard_Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route_nationale_2_-_PANTIN,Route_Nationale_6_-_MELUN,PARIS_1er_Les_Halles,Paris_stade_Lenglen,Boulevard_Soult,Place_de_l'Opéra,RN20_Montlhéry,Boulevard_Périphérique_Est,ARGENTEUIL,AUBERVILLIERS,Boulevard_Péripherique_Auteuil,Autoroute_A1_-_Saint-Denis,Place_Victor_Basch,BOBIGNY,Rue_Bonaparte,Quai_des_Célestins,Tour_Eiffel_3ème_étage,OBJECTID
,DEF,CHAMP,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,PA01H,PA15L,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,EIFF3,0
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,1
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,3
2019-01-03 18:00:00Z,12.500000,8.500000,6,2.400000,5.500000,2.800000,4.600000,23,3.200000,6.900000,3.800000,13.100000,3.200000,0,9.300000,0.500000,0,4.500000,3.800000,13.700000,2,4.200000,7.800000,19,124.200000,,0.400000,22.600000,126.300000,113.900000,67.600000,3.300000,1,139.900000,111.200000,,1.200000,42,124.200000,1.100000,69
2019-01-03 19:00:00Z,9.500000,8.600000,7.400000,2.600000,3.700000,2.400000,4.100000,11.900000,2.300000,3.200000,3.700000,13.500000,3.600000,0,16.900000,0.200000,0,3.500000,4.200000,10.700000,2.600000,3.200000,4.700000,15.800000,145.600000,,0,22.800000,112.100000,119,78.900000,2.300000,1.400000,144.300000,61.400000,,0.700000,48.800000,122,0.700000,70
2019-01-03 20:00:00Z,8.100000,4.400000,9.200000,2.100000,4.300000,2.900000,2.500000,12.400000,1.700000,1.900000,3.800000,11.400000,3.600000,0,11.500000,0.200000,0,3,3.500000,6.600000,1.400000,3,4.500000,14,73.200000,,0.100000,13.100000,76.600000,71,71.600000,1.900000,1.400000,126.400000,77.400000,,1.100000,19.200000,84.200000,0.500000,71
2019-01-03 21:00:00Z,4.600000,2.400000,5.800000,1.700000,2.700000,1.400000,1.600000,9.900000,1.200000,1.900000,2.600000,7.900000,2.300000,0,7.400000,0.300000,0,2.300000,3,7.800000,1.200000,1.800000,2.300000,9.200000,72.600000,,0,6.100000,50,46.900000,56.100000,1.200000,0.800000,128.100000,68.300000,,0.900000,23.600000,39.700000,1.300000,72
2019-01-03 22:00:00Z,3.800000,2.800000,4.800000,1.200000,4.200000,1.600000,2,4,1,2.400000,2.700000,8.800000,2.100000,0,7.400000,0.200000,0,1.200000,2.900000,8.800000,0.600000,1.700000,3.300000,11.900000,55,,0,6,45.400000,43.800000,29.300000,0.200000,1,105.900000,59,,0.900000,16.300000,29.400000,0.800000,73
2019-01-03 23:00:00Z,2.100000,2.100000,2.600000,1,3,1.400000,1.400000,4.700000,0.600000,1.400000,2.400000,3.900000,1.900000,0,8.400000,0.300000,0.100000,1.200000,2.700000,7.900000,0.400000,1.700000,2.800000,19.100000,29.900000,,0,4.100000,48.500000,33.700000,49.800000,0.600000,0.900000,114.800000,67.800000,,0.600000,12.600000,25.400000,1.500000,74
2019-01-04 00:00:00Z,2.500000,1.800000,0.500000,1.300000,2.500000,0.900000,1.300000,4,0.600000,2.300000,2,2.900000,2,0,5.900000,0.100000,0,0.700000,2.900000,9.200000,0.600000,1.700000,3.100000,16.400000,17.400000,,0,5.200000,32.700000,15.100000,48.400000,0.500000,0.900000,88,43,,0.800000,13.900000,18.100000,0.800000,75
2019-01-04 01:00:00Z,1.800000,0.700000,0.400000,1,1.400000,0.800000,1,3.200000,0.400000,1.100000,1.900000,2.200000,2.100000,0,4.700000,0.100000,0,0.200000,2.400000,8,0.500000,1.500000,1.700000,10.600000,12.600000,,0,2.600000,21.100000,14.800000,38.900000,,1,73,29.800000,,0.800000,11.200000,11.100000,0.700000,76
2019-01-04 02:00:00Z,1.600000,1.200000,0.400000,1,1.200000,0.900000,1.300000,3.200000,0.900000,1.200000,2,2.300000,2.700000,0,2.700000,0.100000,0,0,2.100000,3.600000,0.500000,0.800000,1.300000,6.900000,8.400000,,0,1.700000,18,18.300000,35.200000,,0.900000,59.700000,28.500000,,1,7.800000,10.500000,1,77
2019-01-04 03:00:00Z,1.100000,1.100000,0.100000,1.200000,1,0.800000,1.600000,4.500000,1.700000,1.500000,2,2.400000,2.100000,0,2.600000,0.100000,0,0.500000,1.800000,1.600000,0.500000,1.100000,0.900000,6.100000,8.100000,,0,2.500000,11.500000,47.300000,37,,0.800000,52.900000,23,,1,1.400000,9.100000,1.100000,78
2019-01-04 04:00:00Z,1.800000,4.100000,0.100000,1.200000,1.600000,1.100000,2,4.200000,1.100000,1.400000,2.400000,2.200000,2.300000,0,3.500000,0,0,0.100000,2.300000,2.200000,0.500000,3,1.600000,10.200000,24.100000,,0,2.500000,23.500000,93.700000,50.700000,,0.800000,147.800000,37.900000,,0.600000,6.100000,12.500000,1.100000,79
2019-01-04 05:00:00Z,3.600000,4.900000,0.700000,1.300000,2.600000,1.700000,3.300000,4.400000,1,1.100000,2.300000,2.700000,2.800000,0,4.400000,0.200000,0,0.800000,3.200000,4.800000,0.900000,8.500000,3,14.200000,61.400000,,2.100000,7.200000,23.400000,217.200000,52.700000,,0.900000,222.900000,98.600000,,0.700000,5.200000,40.300000,0.800000,80
2019-01-04 06:00:00Z,8.600000,19.600000,8.300000,4.800000,7.500000,6.200000,3.900000,9,3.900000,6.100000,8.300000,5.400000,4.700000,0,17,0.300000,0,4.900000,4.700000,13.800000,6.700000,7.300000,8,19.600000,139.200000,,11.600000,19.200000,51.800000,242.300000,155.900000,,1.700000,350.800000,151.600000,,1.700000,12.900000,93.200000,0.700000,81
2019-01-04 07:00:00Z,47.900000,16.600000,8.900000,6.900000,11.500000,3.900000,7.500000,12.500000,5.600000,18.700000,7.600000,7.900000,6.800000,1.600000,43,0.500000,0,3.600000,5.700000,36,7.200000,9.600000,13.100000,41.300000,206.400000,,30.800000,46.400000,76.300000,208.900000,166.600000,,4.600000,363.200000,141.500000,,8.200000,57.600000,160.800000,1.200000,82
2019-01-04 08:00:00Z,48.200000,16.600000,15.100000,8.400000,9.700000,4.800000,9.300000,18.500000,8.500000,12.500000,7.200000,13.900000,13.600000,7.800000,21.900000,3.800000,0,5,8.100000,61.300000,17.700000,16.800000,29.500000,39.200000,118.100000,,17.800000,36.500000,96,235.400000,198.700000,,3.400000,376.900000,164.500000,,17.300000,47,179.600000,2.600000,83
2019-01-04 09:00:00Z,38.100000,23.600000,15.800000,13,9,6.600000,12.600000,16,20.800000,14.400000,11.200000,19.700000,24.100000,16.200000,23,2.500000,0.200000,7.300000,12.800000,37.900000,22.900000,23.200000,44.900000,45.600000,118.600000,,20.500000,56.300000,121.800000,213.200000,189.400000,,10.400000,259.900000,167.900000,,31,82,176,4.300000,84
2019-01-04 10:00:00Z,22.600000,20.100000,,18.400000,15.800000,6.900000,12.500000,21.700000,12.600000,17.600000,11.400000,22.500000,22.900000,16.700000,28.900000,2.900000,2.200000,9.600000,18.500000,48.600000,22.100000,23.900000,33.500000,69.500000,171.200000,,25.200000,66.400000,132.400000,258.700000,154.200000,,10.900000,204,154.800000,,20.600000,103.100000,154.600000,5.100000,85
2019-01-04 11:00:00Z,22.800000,16.200000,18.200000,15.800000,12.200000,11,13.400000,24.300000,8.500000,16.600000,9.100000,22.100000,16,11.800000,28.900000,3.300000,5.100000,11.100000,19.800000,40.900000,19.600000,21.300000,26.300000,44.500000,140.600000,,13.700000,38.900000,130.300000,182.300000,142.400000,,8.700000,231.400000,143.600000,,16.900000,115.700000,155.200000,7,86
2019-01-04 12:00:00Z,13.300000,10.500000,18,7.900000,9,,7.300000,21,4.700000,8.800000,7.500000,20.200000,17.600000,8.400000,21.700000,2.900000,2,9.100000,9,24.400000,9.700000,19.200000,16.400000,29.200000,104.500000,,9.600000,43.900000,117.600000,82.600000,105.600000,3.300000,6.900000,211.500000,120.900000,,,77.900000,91.800000,7.300000,87
2019-01-04 13:00:00Z,9.800000,6.800000,24.500000,3.300000,4.600000,,4,,2.400000,8.900000,6.100000,15.900000,9.700000,3.500000,15.400000,1.100000,1.400000,7.100000,5.400000,15.900000,6.300000,7.500000,13.300000,19,88.400000,,4.600000,43.200000,94.500000,93,64.200000,3.400000,3.500000,179.200000,79.900000,,,59.100000,88,5.200000,88
2019-01-04 14:00:00Z,9.200000,5.400000,15.800000,4.600000,3.700000,4,3.600000,,2.500000,7.800000,4.900000,13.800000,8.700000,2.300000,12.300000,0.400000,0.600000,4,6.900000,11.500000,5.400000,3.700000,7.400000,,95.700000,,2.100000,21.100000,88.500000,121.500000,95.700000,2.600000,3.300000,173.200000,96.200000,,3.200000,42.700000,129.500000,2,89
2019-01-04 15:00:00Z,9.800000,3.800000,25.400000,5.100000,3.700000,3.400000,3.900000,11.400000,1.800000,3.800000,3.600000,11.600000,6.300000,1.100000,11.200000,0.200000,0.300000,3.500000,6.900000,6.500000,2,3.700000,6.400000,,53,,1.700000,18.100000,92.400000,190.800000,57.100000,3.700000,1.700000,155,93.800000,,1.700000,42.800000,108.300000,0.700000,90
2019-01-04 16:00:00Z,7.500000,2.900000,23.300000,2.200000,3.700000,3.700000,4.400000,11.300000,2.800000,6.700000,3.800000,7.800000,4.200000,0,10.200000,0,0.200000,2.900000,9.400000,20.800000,1.500000,4.100000,6,,120.300000,,0.600000,23,109.400000,166.700000,62.400000,4.100000,2,165.200000,84.400000,,1.200000,31.800000,112.800000,1.100000,91
2019-01-04 17:00:00Z,7.600000,1.600000,27.400000,2.100000,3.600000,8,5.100000,15.500000,4,3.200000,5,12.600000,5.500000,0.700000,13.100000,0.200000,0.100000,4.300000,9.200000,29.800000,4,2.200000,5.800000,48.600000,70.700000,,2.400000,25.800000,111.400000,235.800000,23.900000,2.800000,1.400000,235.500000,110.600000,,1.400000,43.500000,155.800000,1.100000,92
2019-01-04 18:00:00Z,10.100000,2.800000,31.900000,1.800000,3.700000,3.200000,6.900000,20,6,4.400000,3.300000,11.200000,3.700000,0,14.400000,0.200000,0,3.400000,5.800000,9.900000,4.700000,1.600000,7.400000,32.100000,99.900000,,1.800000,15.600000,86.900000,211.700000,37.200000,1.900000,1.700000,178.300000,91.100000,,1.500000,30.200000,131.700000,1,93
2019-01-04 19:00:00Z,6.400000,1.600000,22.500000,2.400000,3,4,3.900000,18.100000,4.200000,1.400000,3.300000,10.800000,4.100000,0,10.100000,0.100000,1.500000,3.200000,6.100000,6.800000,3.400000,1.100000,4,29.700000,54.800000,,0.800000,18.500000,76.900000,154.200000,32.800000,1.400000,1.400000,138.800000,71.100000,,1,24.600000,118.500000,1.300000,94
2019-01-04 20:00:00Z,3.300000,1.200000,23.500000,1.900000,4.100000,2.900000,3.500000,29.300000,2.900000,1.100000,3.900000,10.400000,2.700000,0,10.100000,0.200000,0.700000,2.600000,5.300000,11,4,1.900000,2.400000,18.500000,102.600000,,0.800000,10.700000,74.600000,100.900000,38.900000,1.600000,1.300000,160.100000,82,,0.600000,19.200000,91.800000,1,95
2019-01-04 21:00:00Z,3.600000,0.700000,30.900000,1.300000,1.900000,2.100000,2.500000,11.600000,1.800000,0.700000,3.200000,8.100000,4.300000,0,8.400000,0.100000,0.100000,1.800000,2.900000,9.800000,1,0.900000,1.400000,23.200000,34.300000,,0.200000,6.200000,49.200000,73.500000,11.500000,1,1.200000,151.300000,56.100000,,1,7.200000,30.100000,0.900000,96
2019-01-04 22:00:00Z,2.200000,1.100000,13.100000,1.200000,1.600000,0.900000,2.300000,13.300000,2.400000,1,2.400000,8.300000,3.800000,0.100000,4.900000,0.300000,0.200000,1.100000,2.500000,4.300000,0.500000,0.800000,1,11.600000,21.400000,,0,5.200000,37.700000,55.700000,16.900000,0.400000,0.900000,105.300000,46.500000,,1.200000,10.400000,31.300000,1,97
2019-01-04 23:00:00Z,2.100000,2.100000,19.400000,0.700000,1.400000,1.200000,1.500000,4.800000,2,1.300000,2.900000,5.700000,4.100000,0,7.200000,0.500000,2.200000,0.200000,2.100000,4.700000,0.400000,0.400000,1.400000,8.700000,25.200000,,0,4.900000,37.500000,36.800000,37.500000,0.200000,1,97.800000,48.800000,,0.500000,8.600000,49.300000,0.900000,98
2019-01-05 00:00:00Z,2.500000,2,6.900000,0.700000,1.200000,0.600000,2.100000,3.800000,1.300000,0.900000,2.400000,3.900000,2.400000,0,6.200000,0.200000,1.700000,0.300000,2.300000,3.500000,0.300000,1.800000,3,8.400000,24.800000,,0,2.700000,34.700000,35.700000,37.800000,0,0.900000,74.800000,39.100000,,0.700000,8.800000,31.400000,0.900000,99
2019-01-05 01:00:00Z,2.400000,1.300000,14.200000,0.800000,1.100000,0.600000,,4.100000,2,2.500000,2.100000,3.400000,2,0,4.300000,0.100000,0.500000,0.300000,1.600000,3.300000,0.500000,1.200000,2.200000,5.400000,14.600000,,0,2.700000,17.900000,32.900000,22.300000,0,0.700000,67.900000,43.900000,,0.300000,4.900000,22.400000,1.100000,100
2019-01-05 02:00:00Z,1.500000,0.300000,12.700000,0.500000,1.100000,0.900000,,3,0.800000,0.600000,2.200000,3,2.300000,0,3.100000,0.200000,0,0.100000,1.500000,3.600000,0.200000,0.400000,1,6.200000,4,,0,1.800000,17.100000,21.200000,12.300000,0.100000,0.700000,55.900000,40,,0.300000,3.300000,22.100000,0.900000,101
2019-01-05 03:00:00Z,1.200000,0,15.900000,0.600000,0.800000,0.800000,,3.100000,1.200000,0.700000,2.400000,2.600000,2.800000,0,3.300000,0,0,0.100000,1.500000,3.300000,0.100000,0.700000,0.700000,12,6.300000,,0,0.500000,15.200000,34.500000,2.100000,1.400000,0.500000,59.600000,31.400000,,0.300000,5.300000,10.500000,0.300000,102
2019-01-05 04:00:00Z,1,0.400000,11.500000,0.800000,0.900000,0.700000,,2.600000,1.300000,0.600000,2.600000,2.500000,1.700000,0,3.200000,0,0,0,1.500000,1.700000,0.100000,0.500000,0.300000,12.200000,7.100000,,0,1,9.700000,44.800000,3.700000,0.200000,0.500000,74.600000,30.200000,,1.600000,2.700000,11,0.800000,103
2019-01-05 05:00:00Z,1.600000,0.700000,5.100000,0.800000,1.500000,0.600000,,5,1,0.700000,2.700000,2.700000,1.700000,0,4.300000,0.100000,0.600000,0,1.500000,1.300000,0.300000,0.300000,1.500000,22.300000,7.200000,,0,1,11.800000,33,4.600000,0,0.500000,116.200000,34,,0.400000,4.600000,31.700000,0.800000,104
2019-01-05 06:00:00Z,1.800000,0,9.100000,0.800000,1.200000,0.700000,,4,1.900000,0.600000,2.300000,3,2.700000,0,5.700000,0.200000,0.600000,0,2,2.500000,0.700000,0.600000,1.200000,15.100000,21.100000,,0,0.700000,17.500000,65.900000,7.400000,0,0.600000,110.400000,43,,0.300000,1.600000,30.100000,0.500000,105
2019-01-05 07:00:00Z,4.200000,0.500000,22.700000,1.100000,1.400000,0.400000,,5.300000,2.100000,0.700000,3.800000,3.400000,2.300000,0,6.300000,0.100000,0.400000,0.400000,2.500000,18,0.800000,1.100000,1.100000,17.600000,20.400000,,0,2.900000,34,60.500000,7.800000,0.900000,0.900000,129.200000,60.300000,,0.400000,3.300000,39.900000,1,106
2019-01-05 08:00:00Z,2.500000,0.800000,,1,1.300000,1,,7.400000,1.500000,2.100000,4.500000,5,5.300000,0.700000,7.300000,0.300000,0,0.500000,2.600000,27.600000,1.600000,0.500000,1.400000,19.400000,18.300000,,0,4,42.400000,120,7.600000,1.500000,1.300000,134,52.500000,,0.300000,12.500000,27.100000,0.800000,107
2019-01-05 09:00:00Z,15.700000,1.300000,,1.500000,2.300000,1.500000,,9.300000,2.300000,3.200000,5,9.600000,5.500000,0.800000,10.800000,1.100000,0.900000,1,3.300000,9.500000,3.200000,1.800000,3.100000,33.600000,22.500000,,1,5.800000,42.500000,165.200000,14.800000,4.200000,1.600000,169.800000,71.600000,,1.100000,14,33.600000,1.100000,108
2019-01-05 10:00:00Z,14,4.100000,,3.500000,3,1.400000,,13.700000,7,5.300000,4.800000,11.100000,9.500000,1.600000,11.300000,2.500000,3.800000,4.400000,4.900000,18,2.700000,4.800000,4.300000,25,35.700000,,1.600000,15.100000,55.700000,231.600000,10.900000,6.200000,2.900000,160.800000,159.500000,,1.600000,31.100000,46.900000,0.800000,109
2019-01-05 11:00:00Z,3.400000,6.600000,,6.900000,4.500000,1.400000,,31.100000,9.500000,8.600000,4.700000,13.600000,12.800000,2.100000,13.100000,1.100000,2.700000,7.800000,6.100000,28.500000,3.500000,6.900000,8.200000,26.100000,53.900000,,3.100000,25.400000,44.300000,171,10.800000,10.200000,4.500000,168.100000,173.600000,,3.300000,16.800000,67.200000,1.600000,110
2019-01-05 12:00:00Z,3.700000,6.600000,,8.200000,4.800000,2.100000,,14,12.400000,5.800000,6,13.500000,10.700000,3.200000,11.900000,0.600000,1.900000,9.100000,5.900000,15.700000,3.900000,9.200000,6.300000,24.200000,63.900000,,4.500000,13.600000,63.700000,154.700000,5.300000,8.200000,5.400000,152.700000,157.800000,,5.400000,15.600000,57.900000,1.700000,111
2019-01-05 13:00:00Z,3.500000,7.500000,,7,3.600000,2.400000,,12.600000,13.800000,4.400000,5.600000,12.600000,11.500000,3,14.400000,1.500000,2.700000,5.500000,5.600000,21.700000,3.600000,6.700000,6.600000,32.100000,42.500000,,4.200000,14.400000,35.200000,122.600000,7.800000,3.900000,4.900000,155.700000,91.200000,,3.700000,13.200000,55.200000,1.500000,112
2019-01-05 14:00:00Z,5.600000,5.400000,,6.700000,4.400000,2,,12.600000,9.200000,5.700000,5.400000,11.700000,10.600000,2.500000,13.200000,1.100000,4.400000,6,5.800000,20.600000,3.500000,3.700000,6.900000,35.600000,22.900000,,2.800000,17.100000,64.600000,125.700000,13.800000,3.500000,3.600000,158.700000,87.600000,,2.200000,13.700000,46.400000,1.200000,113
2019-01-05 15:00:00Z,3.700000,3.100000,29.400000,9.400000,3.400000,3.600000,,12.500000,11.700000,4.800000,5,15.700000,8.400000,1.800000,13.900000,0.700000,5.900000,5.100000,5.400000,19.400000,4.100000,2.900000,4.900000,39.300000,35.100000,,1.700000,12.800000,64.800000,165.600000,12.700000,8.500000,2.200000,183.900000,89.700000,,1.400000,6.700000,76.500000,1.600000,114
2019-01-05 16:00:00Z,2.900000,1.700000,37.200000,3.800000,4.500000,2.400000,,7,9.400000,1.700000,5.700000,14.200000,4.200000,0.600000,22.900000,1.100000,4.500000,5,4.200000,29.600000,3.500000,1.900000,3.500000,59.500000,46.700000,,2.100000,16.100000,101.300000,212.500000,19.100000,2.700000,2.600000,207.400000,98.900000,,1.100000,10.400000,65.200000,1.400000,115
2019-01-05 17:00:00Z,3.400000,1.400000,36.800000,3.400000,5.600000,3.600000,,6.800000,6.300000,1.700000,6.500000,14.500000,4.900000,1.100000,17.900000,0.600000,5.600000,4.200000,5.300000,25.600000,4,2,5.300000,39.700000,43.900000,,1.600000,16.900000,100,192.300000,10.900000,3,1.800000,198.700000,78.700000,,0.700000,11.200000,56,0.700000,116
2019-01-05 18:00:00Z,3.100000,1.400000,28.400000,3.100000,5.100000,6.300000,,6.800000,2.800000,1.700000,5,11.600000,6.700000,1,18.900000,0.300000,4.900000,3.100000,4.200000,22.100000,3.700000,2.100000,2.800000,35.500000,55.400000,,3,13.900000,67.100000,171.100000,8.300000,1.600000,1.700000,188.100000,79.900000,,1.600000,8,71,0.800000,117
2019-01-05 19:00:00Z,2.600000,1.700000,21.900000,3,2.100000,1.400000,,9.300000,3.300000,1.400000,3.200000,10.400000,6.300000,0.700000,12.600000,0.300000,2.600000,3.200000,4.100000,10.700000,2.200000,1.700000,3.300000,33.400000,36.200000,,1.400000,13.300000,55.100000,141.900000,14.800000,1.100000,1.700000,136.300000,60.400000,,0.900000,7.900000,52.800000,1.500000,118
2019-01-05 20:00:00Z,2.600000,1.200000,28.800000,1.900000,2,1.800000,,6.900000,2.800000,1.200000,3.400000,9.700000,7.400000,0.600000,10.800000,0.300000,1,2.600000,2.800000,12.200000,1.500000,0.600000,2.300000,10.200000,44.600000,,0.500000,11.700000,59.500000,99.500000,27,0.800000,1.400000,121.300000,69.700000,,0.700000,6.300000,55.500000,0.900000,119
2019-01-05 21:00:00Z,1.600000,1.200000,20.200000,1,2.500000,1,,6.700000,2.700000,1.100000,3.500000,8.100000,4.900000,0.100000,12.300000,0.300000,0.900000,1.500000,3.100000,8.200000,0.700000,0.800000,2,14.400000,42.700000,,0,7.200000,39.400000,65.500000,41.600000,0.900000,1,82.600000,77.900000,,0.500000,11.600000,57.200000,0.900000,120
2019-01-05 22:00:00Z,2.300000,0.800000,26.600000,0.900000,1.600000,0.800000,,5.500000,1.400000,1.100000,3.500000,11.100000,5.500000,0.100000,7.700000,0.200000,1.200000,1.200000,2.600000,3.700000,0.500000,0.600000,1.700000,15.400000,28.100000,,0,6,37.500000,40.300000,27.100000,0.800000,1.300000,111.300000,74.500000,,0.700000,9.900000,58.900000,1,121
2019-01-05 23:00:00Z,3.200000,1,28.600000,1,1.900000,1.100000,,5.500000,0.900000,0.900000,4,6.800000,3.500000,0,7.400000,0.100000,1.400000,1.100000,2.700000,8,0.600000,0.700000,1.800000,16.600000,29.500000,,0.200000,6.400000,37,52.600000,12.300000,0.600000,1,159.400000,63.900000,,0.900000,6.600000,47,0.700000,122
2019-01-06 00:00:00Z,2,1.600000,18.100000,0.900000,1.800000,2,,4.400000,1.100000,1.500000,4.200000,5.700000,5.400000,0,7.500000,0.100000,3.200000,0.600000,2.300000,6.500000,0.600000,0.800000,0.800000,10.300000,19.800000,,0.900000,4,34.900000,48.900000,15.900000,2.400000,1,120.300000,64.700000,,0.700000,12.800000,50,1,123
2019-01-06 01:00:00Z,1.600000,0.900000,27.900000,0.800000,2.100000,1.300000,,2.700000,1.400000,0.800000,3.600000,3.900000,3.600000,0,7.100000,0.100000,3.300000,0.300000,2,5,0.400000,0.700000,0.900000,9.100000,11.300000,,0,1.900000,25.500000,33.100000,18.100000,0.600000,1.600000,116.700000,65.100000,,0.600000,5.300000,32.200000,1.300000,124
2019-01-06 02:00:00Z,1.200000,1.100000,24,0.700000,1.700000,1.100000,,2.100000,1.200000,0.700000,3.600000,3.900000,2.300000,0,5.200000,0.200000,1,0.200000,2,5.900000,0.200000,1.100000,1.600000,6.100000,9.600000,,0,1.700000,29.200000,22.700000,8.600000,0.400000,1.100000,95.900000,48,,0.800000,6,40.600000,0.900000,125
2019-01-06 03:00:00Z,0.900000,1.500000,6.100000,0.500000,1.300000,0.700000,,,1.600000,0.700000,2.700000,3.100000,2.500000,0,5.300000,0.100000,1.200000,0.400000,1.700000,1.400000,0.200000,0.800000,0.400000,4.900000,7.600000,,0,0.800000,18.700000,24.200000,8,0,1,35,32.500000,,0.700000,7.900000,19.600000,0.800000,126
2019-01-06 04:00:00Z,0.800000,0.300000,4.600000,0.600000,0.700000,0.500000,,3.200000,1.500000,0.700000,2.400000,2.400000,1.800000,0,3.800000,0.100000,1.400000,0.300000,1.400000,1.300000,0.300000,0.400000,0.500000,4.100000,5,,0,0.600000,13.800000,21.200000,8.400000,0,0.700000,33.800000,33.800000,,0.500000,4.500000,11.400000,0.800000,127
2019-01-06 05:00:00Z,0.900000,0.100000,3.800000,0.600000,0.900000,0.700000,,2.400000,1.600000,0.600000,2.300000,2.200000,2,0,3,0.100000,1.100000,0,1.500000,2.400000,0.100000,0.700000,0.800000,11.100000,3.600000,,0,0.600000,17.100000,31.900000,21,0.900000,0.600000,76.500000,43.900000,,0.400000,3.800000,25.400000,0.800000,128
2019-01-06 06:00:00Z,0.700000,0.900000,8.500000,0.400000,1.100000,0.500000,,3.200000,0.900000,0.600000,2.700000,2.500000,1.900000,0,3.800000,0.100000,3.200000,0.800000,1.800000,1.700000,0.500000,0.500000,0.500000,15.900000,6.500000,,0,3.500000,8.500000,59.800000,18.400000,1.100000,0.700000,106,71.400000,,0.400000,1.500000,19.500000,0.900000,129
2019-01-06 07:00:00Z,1.300000,0.400000,11.100000,0.800000,0.900000,0.600000,,4.300000,1,1.100000,4.400000,3.600000,2.400000,0,4.700000,0.200000,0.400000,1.200000,1.800000,8.700000,0.400000,0.800000,1.900000,17.200000,14.900000,,0.500000,1.400000,26.600000,52.500000,6.500000,1.600000,0.900000,91,120.400000,,0.500000,8.500000,21.400000,0.700000,130
